belittle|DEFLATE|deflate
bell|ALARM|alarm
belly|STOMACH|stomach
belong|CONNECT|connection
below|UNDER|under
belowground|BASEMENT|basement
belt|BELTBAND|belt
belt2|BELTBAND|belt
beltband|BELTBAND|belt
bemused|PUZZLED|puzzled
bend|BEND|bend
bendedknees|KNEEL|kneel
bendknee|CURTSEY_2|curtsey_2
beneath|UNDER|under
benefit|BENEFIT|benefit
benefits|BENEFIT|benefit
bent|DENT|dent
beprepared|READY|ready
bequiet|E(SHH)|sshh
beready|READY|ready
berry|CHERRY|cherry_2
besafe|CAREFUL|careful
besides|NEXT-TO|next_to
best|BETTER|better
bet|BET|bet
better|BETTER|better
between|BETWEEN|between
beverage|DRINK|drink
bewildered|PUZZLED|puzzled
bewilling|ADMIT|admit
bi-|BOTH|both
bib|BIB|bib
bicker|DELIBERATE|deliberate
bicycle|BICYCLE|bicycle
big|TALL_2|tall_2
bike|BICYCLE|bicycle
bikini|BRA|bra
bill|PAY|pay
billards|POOL-GAME|pool
bin|TRASH|trash
bind|TIE|bind
bing|TEND-TO|tendency
binoculars|BINOCULARS|binoculars
binocularsc|BINOCULARS|binoculars
biological|BIOLOGY|biology
biology|BIOLOGY|biology
bird|BIRD|bird
birth|BIRTH|birth
birthday|BIRTHDAY|birthday
biscuit|CRACKER|cracker
bison|BUFFALO|buffalo
bitch|BITCH|bitch
bite|BITE|bite
biteoff|CELERY|celery
biteonarm|BITE_ON_ARM|bite_on_arm
biteonneck|BITE_ON_NECK|bite_on_neck
bitter|DISAPPOINT|disappoint
biweekly|NUMBER-WEEKS|two_weeks
black|BLACK|black
blackbird|BLACKBIRD|blackbird
blackout|FAINT|faint
blahblahblah|MOUTH-TALK|talk_2
blame|FAULT|fault
blank|SPACE|space
blanket|BLANKET|blanket
bleed|BLOOD|bleed
bleeding|BLOOD|bleed
blend|MAINSTREAM|mainstream
blendin|MAINSTREAM|mainstream
bless|BLESS|bless
blessing|BLESS|bless
blessyou|BLESS|bless
blind|BLIND|blind
blinds|BLINDS_1|blinds_1
blinds1|BLINDS_1|blinds_1
blinds2|BLINDS_2|blinds_2
blink|CLOSE-EYES|close_eyes
blinking|WINK|wink
block|BRICK|brick
blog|VLOG|vlog
blond|BLOND|blond
blonde|BLOND|blond
blondehair|BLOND|blond
blood|BLOOD|bleed
bloody|BLOOD|bleed
bloodynose|RUNNY-NOSE|nose_bleed
bloom|BLOOM|bloom
blossom|GROW|grow
blouse|BLOUSE|blouse
blow|WIND|wind
blow-dry|HAIRDRYER|hairdryer_3
blow-dryer|HAIRDRYER|hairdryer_3
blow-mind|BLOW-MIND|blow_mind
blowbaloon|BALLOON|bubbles
blowcandle1|BLOW_CANDLE_1|blow_candle_1
blowcandle2|BLOW_CANDLE_2|blow_candle_2
blowmind|BLOW-MIND|blow_mind
blowout|BLOW-UP|blow
blowup|TEMPER-BLOW-UP|temper_blow_up
blowwhistle|WHISTLE|whistle
blue|BLUE|blue
blunt|STRAIGHT|straight
blur|BLUR|blur
blurred|BLUR|blur
blurry|BLUR|blur
blush|BLUSH|blush
blushing|BLUSH|blush
board|BOARD|board
boardoftrustees|BOARD|board
boast|BRAG|brag
boat|BOAT|boat
body|BODY|body
bodypart|EYES|eyes
boil|BOIL|boil
boil1|BOIL|boil
boil2|BOIL_2|boil_2
boiling-mad|BOILING-MAD|boiling_mad
boilingmad|BOILING-MAD|boiling_mad
bold|BRAVE|brave
bolt|BOLT|bolt
bomb|EXPLODE|explode
bone|BONE|bone
bones|BONE|bone
bonus|ADD|add
book|BOOK|book
books|BOOK|book
boot|FLICK|soccer_2
boots|BOOTS|boots
boots2|BOOTS_2|boots_2
booze|ALCOHOL|alcohol
border|WALL|wall
bordering|NEAR|near
bore|BORED|bored
bored|BORED|bored
bored2|BORED_2|bored_2
boredom|BORED|bored
boredwithit|OVER-IT|tired_of
boring|BORED|bored
born|BIRTH|birth
borrow|BORROW|borrow
boss|BOSS|boss
boston|BOSTON|boston
both|BOTH|both
bother|BOTHER|bother
bothered|UPSET|upset_1
bothofus|TWO-OF-US|two_of_us
bottle|BOTTLE|bottle
bottom|BOTTOM|bottom
bounce|BOUNCE|bounce
bound|SLAVE|slave
boundary|LINE|string
bouquet|BRIDESMAID|bridesmaid
bovine|COW|cow
bow|BOW-AND-ARROW|bow_2
bow1|BOW_1|bow_1
bow2|BOW-AND-ARROW|bow_2
bow3|BOW_3|bow_3
bow4|BOW_4|bow_4
bowandarrow|BOW-AND-ARROW|bow_2
bowl|BOWL|bowl
bowledover|BLOW-MIND|blow_mind
bowling|BOWLING|bowling
bowling2|BOWLING_2|bowling_2
bowtie|BOWTIE|bowtie
box|ROOM|room
boxing|BOXING|boxing
boy|BOY|boy
boyfriend|BOYFRIEND|boyfriend
boyscouts|SCOUT|scout
bra|BRA|bra
bra2|BRA_2|bra_2
bra3|BRA_3|bra_3
bracelet|BRACELET|bracelet
brag|BRAG|brag
braggart|BRAG|brag
braids|BRAIDS|braids
braille|BRAILLE|braille
brain|THINK|think
brainstorm|PONDER|think_ponder
brainwash|BRAINWASH|brainwash
brandnew|NEW|new
brassiere|BRA|bra
brave|CONFIDENT|confident
bread|BREAD|bread
break|BREAKTIME|breaktime
breakdown|BREAKDOWN|break_down
breakfast|EAT-MORNING|breakfast
breakfast1|EAT-MORNING|breakfast
breakfast2|BREAKFAST|breakfast
breaktime|BREAKTIME|breaktime
breath|BREATHE|breathe
breathe|BREATHE|breathe
breathein|INHALE|inhale
breathing|BREATHE|breathe
breeze|COOL-WEATHER|cool_5
breezy|COOL-WEATHER|cool_5
brew|BEER|beer
brick|BRICK|brick
bride|WEDDING|wedding
bridesmaid|BRIDESMAID|bridesmaid
bridge|BRIDGE|bridge_2
bridge2|BRIDGE|bridge_2
brief|SHORT|abbreviate
bright|BRIGHT|bright
brilliant|SMART|smart
brimlesshat|~BEANIE|beanie
bring|BRING|bring
brisk|COOL-WEATHER|cool_5
broad|PUBLIC|public
broken|BREAK|break
broom|MOP|mop
brother|BROTHER|brother
brotheral|BROTHER|brother
brown|BROWN|brown
brush|TOOTHBRUSH|toothbrush
brush-hair|BRUSH|comb_2
brush-teeth|TOOTHBRUSH|toothbrush
brushteeth|TOOTHBRUSH|toothbrush
bs|BULLSHIT|bullshit
bubblegum|GUM|gum
bubbles|BALLOON|bubbles
bucket|BAG|bag
buckle1|BUCKLE_1|buckle_1
buckle2|BUCKLE_2|buckle_2
budget|BUDGET|budget
buffalo|BUFFALO|buffalo
buffalosauce|BUFFALO|buffalo
bug|BUG|bug
build|BUILDING|building
building|BUILDING|building
bulky|FAT|fat
bull|BULLSHIT|bullshit
bulldozer|BULLDOZER|bulldozer
bulletpoint|POINT|point
bullshit|BULLSHIT|bullshit
bumblebee|BEE|bee
bumpy|BUMPY|bumpy
bun|BUN|bun
bunny|RABBIT|rabbit_2
burden|RESPONSIBILITY|responsibility
burger|HAMBURGER|hamburger
burglar|THIEF_2|thief_2
burglarize|STEAL|steal
burn|FIRE|fire
burn1|FIRE|burn_1
burnedinmemory|SCAR-MEMORY|scar_memory
burp|BURP|burp
burpb|BURP|burp
burst|POP|pop
burstintoflames|FIRE|burn_1
bury|CEMETERY|bury
bury1|BURY_1|bury_1
bury2|BURY_2|bury_2
bury3|BURY_3|bury_3
bus|BUS|bus
business|BUSY|busy
busted|BUSTED|arrest_2
busy|BUSY|busy
but|BUT|but
butter|BUTTER|butter
butterfly|BUTTERFLY|butterfly
button|BUTTON|buttons
buttons|BUTTON|buttons
buy|BUY|buy
buzzcut|SHAVE-HEAD|shave_2
by|NEXT-TO|next_to
bye|BYE-BYE|bye
bye-bye|BYE-BYE|bye
byoneself|ALONE|only_one_2
cabbage|GARBAGE|lettuce
cabin|CAMPING|camping
cabinet|CLOSET|closet_1
cafe|STARBUCKS|starbucks
cafeteria|CAFETERIA|cafeteria
cage|PRISON|prison
cake|CAKE|cake
calculate|FIGURE|figure
calculator|CALCULATOR|calculator
calendar|CALENDAR|calendar
california|CALIFORNIA|california
call|SUMMON|summon
call-tty|CALL-TTY|call_tty
call2|TO-NAME|call_2
callattention|SUMMON|call_attention
called|TO-NAME|call_2
callon|VISIT|visit
calltty|CALL-TTY|call_tty
calm|QUIET|quiet
calmdown|RELIEF|relief
camcorder|VIDEOCAMERA|camcorder
camel|CAMEL|camel
camera|CAMERA|camera
cameraman|CAMERAMAN|cameraman
camp|CAMPING|camping
camping|CAMPING|camping
campus|SCHOOL|school
can|CAN|can
can't|CANNOT|cannot
can'tbedone|IMPOSSIBLE|impossible
can'tforget|SCAR-MEMORY|scar_memory
can'tsee|PEEK-A-BOO|peekaboo
can'tsleep|RESTLESS|restless
can2|CAN_2|can_2
canada|CANADA|canada
canadian|CANADA|canada
cancel|CORRECT|cancel
cancellation|CANCELLATION|cancellation
cancer|CANCER|cancer
cancer1|CANCER|cancer
cancer2|CANCER|cancer
candelabra|HANUKKAH|hanukkah
candelabrum|HANUKKAH|hanukkah
candidate|VOLUNTEER|volunteer
candle|CANDLE|candle
candlelight|CANDLE|candle
candletree|HANUKKAH|hanukkah
candy|SWEET|sweet
candy1|CANDY_1|candy_1
candy2|CANDY_2|candy_2
canine|DOG|dog
cannon|CANNON|cannon
cannot|CANNOT|cannot
canoe|CANOE|canoe
canoeing|CANOE|canoe
cap|HAT-BRIM|baseball_cap
capableofsigning|PRODUCE-SIGN|produce_sign
cape|CAPE|cape
capitol|GOVERNMENT|government
captain|BOSS|boss
caption|CAPTION|caption
captioned|CAPTION|caption
captioning|CAPTION|caption
captions|CAPTION|caption
captivated|FASCINATED|fascinated
capture|CAPTURE|capture
car|CAR|car
caraccident|ACCIDENT|car_accident
